cocktail,ingredient
Alexander,Cognac
Alexander,Dark Crème de Cacao
Alexander,Light Cream
Americano,Campari
Americano,Sweet Red Vermouth
Americano,Soda
Angel Face,Gin
Angel Face,Apricot Brandy
Angel Face,Calvados
Aviation,Gin
Aviation,Lemon Juice
Aviation,Maraschino
Aviation,Creme de Violette
Between the Sheets,White Rum
Between the Sheets,Cognac
Between the Sheets,Triple Sec
Between the Sheets,Lemon Juice
Boulevardier,Bourbon
Boulevardier,Sweet Red Vermouth
Boulevardier,Campari
Brandy Crusta,Brandy
Brandy Crusta,Maraschino
Brandy Crusta,Curaçao
Brandy Crusta,Lemon Juice
Brandy Crusta,Simple Syrup
Brandy Crusta,Angostura Bitters
Casino,Gin
Casino,Maraschino
Casino,Lemon Juice
Casino,Orange Bitters
Clover Club,Gin
Clover Club,Lemon Juice
Clover Club,Raspberry Syrup
Clover Club,Dry Vermouth
Clover Club,Egg White
Daiquiri,White Rum
Daiquiri,Lime Juice
Daiquiri,Sugar
Dry Martini,Gin
Dry Martini,Dry Vermouth
Gin Fizz,Gin
Gin Fizz,Lemon Juice
Gin Fizz,Simple Syrup
Gin Fizz,Soda
Hanky Panky,Gin
Hanky Panky,Sweet Red Vermouth
Hanky Panky,Fernet-Branca
John Collins,Gin
John Collins,Lemon Juice
John Collins,Simple Syrup
John Collins,Soda
Last Word,Gin
Last Word,Lime Juice
Last Word,Green Chartreuse
Last Word,Maraschino
Manhattan,Rye Whiskey
Manhattan,Sweet Red Vermouth
Manhattan,Angostura Bitters
Martinez,Gin
Martinez,Sweet Red Vermouth
Martinez,Maraschino
Martinez,Orange Bitters
Mary Pickford,White Rum
Mary Pickford,Pineapple Juice
Mary Pickford,Grenadine
Mary Pickford,Maraschino
Monkey Gland,Gin
Monkey Gland,Orange Juice
Monkey Gland,Absinthe
Monkey Gland,Grenadine
Negroni,Gin
Negroni,Sweet Red Vermouth
Negroni,Campari
Old Fashioned,Bourbon
Old Fashioned,Angostura Bitters
Old Fashioned,Sugar Cube
Old Fashioned,Water
Paradise,Gin
Paradise,Apricot Brandy
Paradise,Orange Juice
Planter's Punch,Jamaican Rum
Planter's Punch,Lime Juice
Planter's Punch,Sugar Cane Juice
Porto Flip,Brandy
Porto Flip,Port
Porto Flip,Egg Yolk
Ramos Fizz,Gin
Ramos Fizz,Lime Juice
Ramos Fizz,Lemon Juice
Ramos Fizz,Simple Syrup
Ramos Fizz,Cream
Ramos Fizz,Egg White
Ramos Fizz,Orange Flower Water
Ramos Fizz,Vanilla Extract
Ramos Fizz,Soda
Rusty Nail,Scotch Whisky
Rusty Nail,Drambuie
Sazerac,Cognac
Sazerac,Absinthe
Sazerac,Sugar Cube
Sazerac,Peychaud's Bitters
Sidecar,Cognac
Sidecar,Triple Sec
Sidecar,Lemon Juice
Stinger,Cognac
Stinger,White Creme de Menthe
Tuxedo,Gin
Tuxedo,Dry Vermouth
Tuxedo,Maraschino
Tuxedo,Absinthe
Tuxedo,Orange Bitters
Vieux Carre,Rye Whiskey
Vieux Carre,Cognac
Vieux Carre,Sweet Red Vermouth
Vieux Carre,Bénédictine
Vieux Carre,Peychaud's Bitters
Whiskey Sour,Bourbon
Whiskey Sour,Lemon Juice
Whiskey Sour,Simple Syrup
White Lady,Gin
White Lady,Triple Sec
White Lady,Lemon Juice
